Month-Year,Handle,Revenue,Hold,Taxes
Jun-18,"$16,409,619 ","$3,458,668 ",21.10%,"$337,077 "
Jul-18,"$40,682,237 ","$3,845,880 ",9.50%,"$377,015 "
Aug-18,"$95,634,048 ","$9,198,272 ",9.60%,"$1,038,073 "
Sep-18,"$183,948,404 ","$23,775,366 ",12.90%,"$2,883,517 "
Oct-18,"$260,711,301 ","$11,686,119 ",4.50%,"$1,536,282 "
Nov-18,"$330,748,563 ","$21,243,865 ",6.40%,"$2,730,521 "
Dec-18,"$319,173,548 ","$20,814,222 ",6.50%,"$2,695,290 "
Jan-19,"$385,279,662 ","$18,777,582 ",4.90%,"$2,532,619 "
Feb-19,"$320,368,087 ","$12,732,740 ",4.00%,"$1,817,553 "
Mar-19,"$372,451,342 ","$31,669,387 ",8.50%,"$4,180,051 "
Apr-19,"$313,719,562 ","$21,215,747 ",6.80%,"$2,817,206 "
May-19,"$318,940,677 ","$15,536,384 ",4.90%,"$2,135,704 "
Jun-19,"$273,222,975 ","$9,701,925 ",3.60%,"$1,258,541 "
Jul-19,"$251,371,272 ","$17,884,790 ",7.10%,"$2,367,745 "
Aug-19,"$293,594,862 ","$25,210,342 ",8.60%,"$3,327,589 "
Sep-19,"$445,563,503 ","$37,883,375 ",8.50%,"$5,017,875 "
Oct-19,"$487,924,504 ","$46,393,537 ",9.50%,"$5,662,148 "
Nov-19,"$562,675,543 ","$32,895,546 ",5.90%,"$4,460,461 "
Dec-19,"$557,786,161 ","$29,424,884 ",5.30%,"$4,016,635 "
