Date,Handle,Revenue,Hold,State Revenue
Nov-18,"682,714","$72,997 ",10.69%,"$37,228 "
Dec-18,"$13,087,999 ","$957,913 ",7.32%,"$488,536 "
Jan-19,"$19,051,125 ","$159,978 ",0.84%,"$81,589 "
Feb-19,"$20,686,618 ","($890,623)",-4.31%,"($454,218)"
Mar-19,"$23,582,716 ","$1,548,230 ",6.57%,"$789,597 "
Apr-19,"$16,859,818 ","$1,970,110 ",11.69%,"$1,004,756 "
May-19,"$18,900,152 ","$899,165 ",4.76%,"$458,574 "
Jun-19,"$14,736,667 ","$2,149,999 ",14.59%,"$1,096,499 "
Jul-19,"$8,321,947 ","$827,579 ",9.94%,"$422,065 "
Aug-19,"$10,060,066 ","$851,788 ",8.47%,"$434,412 "
Sep-19,"$22,195,789 ","$2,516,059 ",11.34%,"$1,283,190 "
Oct-19,"$28,281,024 ","$2,457,136 ",8.69%,"$1,253,139 "
Nov-19,"$31,465,062 ","$2,745,518 ",8.73%,"$1,400,214 "
